id,money,points,user_id,player1_id,player2_id,player3_id,player4_id,player5_id,last_points,,
1,0,940,1,7,92,82,146,81,199,,
2,25000,801,2,67,12,36,113,81,157,,
3,25000,964,3,125,157,71,159,60,182,,
4,0,1072,4,87,102,71,93,81,196,,
6,1000000,0,6,,,,,,0,,
7,100000,928,7,43,48,71,72,81,155,,
8,0,703,8,122,48,71,79,14,104,,
9,50000,932,9,125,48,71,152,81,139,,
11,50000,947,11,125,157,71,146,60,188,,
12,10000,737,12,122,12,69,113,73,103,,
13,10000,907,13,43,12,99,113,81,135,,
,,,,,,,,,,,
id,money,points,user_id,player1_id,player2_id,player3_id,player4_id,player5_id,last_points,,
1,0,940,1,,,,,,199,,
2,25000,801,2,,,,113,,157,13,1504
3,25000,964,3,,,,,,182,,
4,0,1072,4,,,,,,196,,
6,1000000,0,6,,,,,,0,,
7,100000,928,7,43,48,,,,155,67,1687
8,0,703,8,,48,,,,104,67,1352
9,50000,932,9,,48,,152,,139,94,1629
11,50000,947,11,,,,,,188,,
12,10000,737,12,,,,113,,103,13,1362
13,10000,907,13,43,,,113,,135,13,
,,,,,,,,,,,
,,,,,,,,,,,
,43,,0,,,,,,,,
,48,,67,,,,,,,,
,113,,13,,,,,,,,
,152,,27,,,,,,,,
