id,money,points,user_id,player1_id,player2_id,player3_id,player4_id,player5_id,last_points,,,
1,50000,1072,1,55,102,71,72,81,132,,,
2,5000,1023,2,67,12,137,113,81,222,,,
3,50000,1134,3,87,102,71,103,81,170,,,
4,0,1260,4,87,102,71,93,81,188,,,
6,1000000,0,6,,,,,,0,,,
7,100000,1096,7,43,48,71,72,81,168,,,
8,0,841,8,97,102,71,138,14,138,,,
9,50000,1064,9,125,48,71,152,81,132,,,
11,50000,1094,11,125,157,71,146,60,147,,,
12,10000,886,12,125,12,69,113,81,149,,,
13,10000,1123,13,43,12,99,113,81,216,,,
,,,,,,,,,,,,
id,money,points,user_id,player1_id,player2_id,player3_id,player4_id,player5_id,last_points,,,
1,50000,1072,1,55,102,71,72,81,132,,,
2,5000,1023,2,67,12,137,113,81,222,,,
3,50000,1134,3,87,102,71,103,81,170,,,
4,0,1260,4,87,102,71,93,81,188,,,
6,1000000,0,6,,,,,,0,,,
7,100000,1096,7,43,48,71,72,81,168,2004,112,2
8,0,841,8,97,102,71,138,14,138,,,
9,50000,1064,9,125,48,71,152,81,132,1980,182,4
11,50000,1094,11,125,157,71,146,60,147,1965,59,2
12,10000,886,12,125,12,69,113,81,149,1442,27,1
13,10000,1123,13,43,12,99,113,81,216,1632,40,1
,,,,,,,,,,,,
,,,,,,,,,,,,
,43,,40,,,,,,,,,
,48,,72,,,,,,,,,
,125,,27,,,,,,,,,
